지점,지점명,일시,기온(°C),풍향(deg),강수량(mm),습도(%)
634,아산,2025-01-04 19:00,-0.1,139.9,0,56
634,아산,2025-01-04 20:00,0.1,133.4,0,51
634,아산,2025-01-04 21:00,-0.8,153.3,0,59
634,아산,2025-01-04 22:00,-3,196.8,0,76
634,아산,2025-01-04 23:00,-1.4,162.6,0,70
634,아산,2025-01-05 0:00,-0.4,137.4,0,65
634,아산,2025-01-05 1:00,-3.2,200.7,0,81
634,아산,2025-01-05 2:00,-0.2,153.6,0,69
634,아산,2025-01-05 3:00,0.6,164.5,0,66
634,아산,2025-01-05 4:00,0.4,174.9,0,69
634,아산,2025-01-05 5:00,1.2,159,0,65
634,아산,2025-01-05 6:00,1.7,152.7,0,62
634,아산,2025-01-05 7:00,2.2,154,0,60
634,아산,2025-01-05 8:00,2.7,187.1,0,58
634,아산,2025-01-05 9:00,2.2,213.9,0,68
634,아산,2025-01-05 10:00,2.3,184.6,0,85
634,아산,2025-01-05 11:00,4.4,197,0,79
634,아산,2025-01-05 12:00,4.4,191.2,0,78
634,아산,2025-01-05 13:00,3.6,211.6,0.5,94
634,아산,2025-01-05 14:00,2.9,191.3,0.5,95
634,아산,2025-01-05 15:00,3.3,157.7,0.5,94
634,아산,2025-01-05 16:00,3.8,153.5,0,91
634,아산,2025-01-05 17:00,3.6,154.8,0,91
634,아산,2025-01-05 18:00,4,141.3,0,89
634,아산,2025-01-05 19:00,3.5,156.1,0,92
634,아산,2025-01-05 20:00,3.1,156.3,0,93
634,아산,2025-01-05 21:00,3.5,155.4,0,92
634,아산,2025-01-05 22:00,3.9,149.2,0,90
634,아산,2025-01-05 23:00,3.6,149.9,0,91
634,아산,2025-01-06 0:00,3.6,145.8,0,91
634,아산,2025-01-06 1:00,3.5,138.9,0,91
634,아산,2025-01-06 2:00,3.2,184.1,0,95
634,아산,2025-01-06 3:00,3.2,150,0.5,92
634,아산,2025-01-06 4:00,3.8,152.4,0,88
634,아산,2025-01-06 5:00,2.2,139,0.5,95
634,아산,2025-01-06 6:00,1.7,0,0,96
634,아산,2025-01-06 7:00,2.7,207.7,0,97
634,아산,2025-01-06 8:00,1.9,227.4,0,96
634,아산,2025-01-06 9:00,2.7,283.2,0,95
634,아산,2025-01-06 10:00,3.3,296.7,0,89
634,아산,2025-01-06 11:00,3.2,316.1,0,76
634,아산,2025-01-06 12:00,3.7,302.4,0,66
634,아산,2025-01-06 13:00,3,270.8,0,62
634,아산,2025-01-06 14:00,2.9,276.5,0,60
634,아산,2025-01-06 15:00,2.6,300.8,0,60
634,아산,2025-01-06 16:00,1.9,302.9,0,57
634,아산,2025-01-06 17:00,1.8,312.7,0,59
634,아산,2025-01-06 18:00,0.9,287.3,0,61
634,아산,2025-01-06 19:00,0.8,282.7,0,63
634,아산,2025-01-06 20:00,0.5,267.4,0,63
634,아산,2025-01-06 21:00,0.1,298.4,0,56
634,아산,2025-01-06 22:00,-0.5,312.7,0,55
634,아산,2025-01-06 23:00,-0.7,301.5,0,56
634,아산,2025-01-07 0:00,-0.8,171,0,58
634,아산,2025-01-07 1:00,-0.5,262.7,0,56
634,아산,2025-01-07 2:00,-1.5,99.6,0,53
634,아산,2025-01-07 3:00,-1.7,284.8,0,48
634,아산,2025-01-07 4:00,-2,187.1,0,47
634,아산,2025-01-07 5:00,-2.2,165,0,47
634,아산,2025-01-07 6:00,-2,274.9,0,48
634,아산,2025-01-07 7:00,-2.5,319.8,0,53
634,아산,2025-01-07 8:00,-4.3,195.7,0,63
634,아산,2025-01-07 9:00,-3.3,220.8,0,72
634,아산,2025-01-07 10:00,-0.9,186.8,0,47
634,아산,2025-01-07 11:00,-0.1,192.9,0,48
634,아산,2025-01-07 12:00,-0.3,290.9,0,54
634,아산,2025-01-07 13:00,-0.4,274.5,0,65
634,아산,2025-01-07 14:00,0,257.3,0,74
634,아산,2025-01-07 15:00,0.5,223.4,0,71
634,아산,2025-01-07 16:00,-0.1,290.1,0,70
634,아산,2025-01-07 17:00,-0.6,309.3,0,77
634,아산,2025-01-07 18:00,-1.5,232.7,0,92
634,아산,2025-01-07 19:00,-1.5,217.3,0,94
634,아산,2025-01-07 20:00,-1.3,261.5,0,86
634,아산,2025-01-07 21:00,-0.9,301,0,69
634,아산,2025-01-07 22:00,-1.6,278,0,68
634,아산,2025-01-07 23:00,-3.3,194.4,0,79
634,아산,2025-01-08 0:00,-4,176,0,79
634,아산,2025-01-08 1:00,-3.2,245.5,0,79
634,아산,2025-01-08 2:00,-3.1,200.9,0,85
634,아산,2025-01-08 3:00,-2.7,197.4,0,87
634,아산,2025-01-08 4:00,-2.6,215.6,1,95
634,아산,2025-01-08 5:00,-4.3,178.6,0,94
634,아산,2025-01-08 6:00,-5.4,199.4,0,95
634,아산,2025-01-08 7:00,-5.7,285.7,0,94
634,아산,2025-01-08 8:00,-6,0,0,94
634,아산,2025-01-08 9:00,-5.2,191.3,0,94
634,아산,2025-01-08 10:00,-3.1,203.5,0,91
634,아산,2025-01-08 11:00,-1.9,246.4,0,82
634,아산,2025-01-08 12:00,-0.9,284.9,0,73
634,아산,2025-01-08 13:00,-0.8,360,0,58
634,아산,2025-01-08 14:00,-1.5,112.8,0,81
634,아산,2025-01-08 15:00,-1.9,255.1,0,80
634,아산,2025-01-08 16:00,-1.7,318.6,0,87
634,아산,2025-01-08 17:00,-1.5,259.3,0,86
634,아산,2025-01-08 18:00,-1.4,285.6,0,70
634,아산,2025-01-08 19:00,-2.1,287.7,0,72
634,아산,2025-01-08 20:00,-2.8,278.5,0,82
634,아산,2025-01-08 21:00,-3.1,313.3,0,86
634,아산,2025-01-08 22:00,-4.2,293,0,83
634,아산,2025-01-08 23:00,-3.7,287,0,67
634,아산,2025-01-09 0:00,-4.1,310.8,0,60
634,아산,2025-01-09 1:00,-5.3,315.3,0,64
634,아산,2025-01-09 2:00,-6.1,296.1,0,59
634,아산,2025-01-09 3:00,-6.4,279.4,0,47
634,아산,2025-01-09 4:00,-7,130.9,0,43
634,아산,2025-01-09 5:00,-7.4,109.3,0,43
634,아산,2025-01-09 6:00,-7.7,75.6,0,49
634,아산,2025-01-09 7:00,-8,62.9,0,48
634,아산,2025-01-09 8:00,-8.5,49.6,0,47
634,아산,2025-01-09 9:00,-8,69,0,53
634,아산,2025-01-09 10:00,-8.2,315.3,0,57
634,아산,2025-01-09 11:00,-8.2,265.8,0,61
634,아산,2025-01-09 12:00,-7.6,302.4,0,62
634,아산,2025-01-09 13:00,-6.8,308.6,0,55
634,아산,2025-01-09 14:00,-6.9,288.8,0,49
634,아산,2025-01-09 15:00,-6.5,279.9,0,48
634,아산,2025-01-09 16:00,-7.7,311.3,0,46
634,아산,2025-01-09 17:00,-8.1,310.9,0,52
634,아산,2025-01-09 18:00,-9,265.5,0,54
634,아산,2025-01-09 19:00,-9.7,176.7,0,48
634,아산,2025-01-09 20:00,-10,88.2,0,46
634,아산,2025-01-09 21:00,-10,143.8,0,44
634,아산,2025-01-09 22:00,-10.1,62.8,0,46
634,아산,2025-01-09 23:00,-10.3,55.7,0,47
634,아산,2025-01-10 0:00,-10.3,57.6,0,50
634,아산,2025-01-10 1:00,-11.9,205,0,68
634,아산,2025-01-10 2:00,-12.5,154,0,65
634,아산,2025-01-10 3:00,-13.1,218.7,0,76
634,아산,2025-01-10 4:00,-13.1,200.2,0,73
634,아산,2025-01-10 5:00,-13.2,158.7,0,77
634,아산,2025-01-10 6:00,-13.7,161,0,81
634,아산,2025-01-10 7:00,-14.3,210,0,83
634,아산,2025-01-10 8:00,-14.1,199.9,0,79
634,아산,2025-01-10 9:00,-11.8,219.7,0,75
634,아산,2025-01-10 10:00,-9.4,204.2,0,60
634,아산,2025-01-10 11:00,-6.9,207.7,0,54
634,아산,2025-01-10 12:00,-6.5,269.4,0,50
634,아산,2025-01-10 13:00,-5.2,8.9,0,51
634,아산,2025-01-10 14:00,-4.1,50.7,0,51
634,아산,2025-01-10 15:00,-3.2,329.9,0,49
634,아산,2025-01-10 16:00,-3.4,337.5,0,52
634,아산,2025-01-10 17:00,-4,0,0,57
634,아산,2025-01-10 18:00,-4.9,0,0,65
634,아산,2025-01-10 19:00,-5.9,196.5,0,68
634,아산,2025-01-10 20:00,-5.3,155,0,68
634,아산,2025-01-10 21:00,-5.4,190.9,0,70
634,아산,2025-01-10 22:00,-4.8,0,0,74
634,아산,2025-01-10 23:00,-5.1,42.1,0,84
634,아산,2025-01-11 0:00,-5.5,0,0,87
634,아산,2025-01-11 1:00,-6.1,173.2,0,89
634,아산,2025-01-11 2:00,-5.8,147.4,0,90
634,아산,2025-01-11 3:00,-5.8,0,0,89
634,아산,2025-01-11 4:00,-6.1,161.5,0,89
634,아산,2025-01-11 5:00,-6.9,146.4,0,88
634,아산,2025-01-11 6:00,-7.9,180,0,90
634,아산,2025-01-11 7:00,-7.3,179.5,0,91
634,아산,2025-01-11 8:00,-7,174.7,0,90
634,아산,2025-01-11 9:00,-6.2,0,0,87
634,아산,2025-01-11 10:00,-4.4,203,0,79
634,아산,2025-01-11 11:00,-2.7,213.8,0,69
634,아산,2025-01-11 12:00,-1.5,267.8,0,61
634,아산,2025-01-11 13:00,-2,310.4,0,58
634,아산,2025-01-11 14:00,-2.3,35.1,0,59
634,아산,2025-01-11 15:00,-1.9,44.1,0,57
634,아산,2025-01-11 16:00,-2.1,37,0,59
634,아산,2025-01-11 17:00,-2.2,47.2,0,63
634,아산,2025-01-11 18:00,-2.7,70.3,0,67
634,아산,2025-01-11 19:00,-4.5,143.5,0,75
634,아산,2025-01-11 20:00,-4.5,116.4,0,78
634,아산,2025-01-11 21:00,-4.8,84.7,0,79
634,아산,2025-01-11 22:00,-4.6,160.6,0,80
634,아산,2025-01-11 23:00,-4.4,132.2,0,82
634,아산,2025-01-12 0:00,-4.6,147.8,0,77
634,아산,2025-01-12 1:00,-5.2,211.5,0,85
634,아산,2025-01-12 2:00,-6.4,156.2,0,89
634,아산,2025-01-12 3:00,-6.8,174.8,0,87
634,아산,2025-01-12 4:00,-7.3,167.4,0,90
634,아산,2025-01-12 5:00,-8.1,175,0,91
634,아산,2025-01-12 6:00,-8.7,240.2,0,90
634,아산,2025-01-12 7:00,-8.3,187.1,0,91
634,아산,2025-01-12 8:00,-8.4,175.5,0,90
634,아산,2025-01-12 9:00,-7.1,223.4,0,88
634,아산,2025-01-12 10:00,-3.6,189,0,80
634,아산,2025-01-12 11:00,-1.4,257,0,73
634,아산,2025-01-12 12:00,1.7,217.5,0,59
634,아산,2025-01-12 13:00,1.1,311.1,0,50
634,아산,2025-01-12 14:00,1.1,49.3,0,50
634,아산,2025-01-12 15:00,1.2,45.9,0,55
634,아산,2025-01-12 16:00,1.2,354.2,0,53
634,아산,2025-01-12 17:00,0.7,5.2,0,58
634,아산,2025-01-12 18:00,-0.6,323.3,0,66
634,아산,2025-01-12 19:00,-1.8,0,0,70
634,아산,2025-01-12 20:00,-1.8,203.6,0,72
634,아산,2025-01-12 21:00,-1.5,0,0,76
634,아산,2025-01-12 22:00,-2.3,218,0,79
634,아산,2025-01-12 23:00,-3.2,216.6,0,82
634,아산,2025-01-13 0:00,-3.9,0,0,83
634,아산,2025-01-13 1:00,-4.3,180.6,0,80
634,아산,2025-01-13 2:00,-5.5,203.5,0,90
634,아산,2025-01-13 3:00,-5.6,181.2,0,85
634,아산,2025-01-13 4:00,-6,171.8,0,87
634,아산,2025-01-13 5:00,-6.2,264.4,0,88
634,아산,2025-01-13 6:00,-5.6,164.6,0,88
634,아산,2025-01-13 7:00,-6.3,167.3,0,89
634,아산,2025-01-13 8:00,-6.1,174.6,0,91
634,아산,2025-01-13 9:00,-3.7,189.8,0,86
634,아산,2025-01-13 10:00,-1.9,201.9,0,82
634,아산,2025-01-13 11:00,0.8,190.2,0,68
634,아산,2025-01-13 12:00,3.8,185,0,63
634,아산,2025-01-13 13:00,4.8,208.9,0,58
634,아산,2025-01-13 14:00,5.1,231.1,0,58
634,아산,2025-01-13 15:00,4.8,234.8,0,58
634,아산,2025-01-13 16:00,4.1,231.9,0,63
634,아산,2025-01-13 17:00,2.2,228,0,83
634,아산,2025-01-13 18:00,1.7,194,0,86
634,아산,2025-01-13 19:00,1.6,191.9,0,87
634,아산,2025-01-13 20:00,2.4,165.8,0,80
634,아산,2025-01-13 21:00,2.4,186.8,0,78
634,아산,2025-01-13 22:00,2.6,199,0,76
634,아산,2025-01-13 23:00,2.1,218.4,0,79
634,아산,2025-01-14 0:00,2.4,205.3,0,79
634,아산,2025-01-14 1:00,2.3,195.1,0,80
634,아산,2025-01-14 2:00,1.7,208.8,0,86
634,아산,2025-01-14 3:00,1.7,215.6,0,82
634,아산,2025-01-14 4:00,1.1,212.5,1,93
634,아산,2025-01-14 5:00,1.3,175.4,0,92
634,아산,2025-01-14 6:00,1.6,185.9,0.5,93
634,아산,2025-01-14 7:00,1.4,162.6,0,93
634,아산,2025-01-14 8:00,1.9,161.5,0,91
634,아산,2025-01-14 9:00,1.9,182.5,0,92
634,아산,2025-01-14 10:00,2.4,219.7,0,93
634,아산,2025-01-14 11:00,5.5,243.4,0,84
634,아산,2025-01-14 12:00,7.9,244.9,0,66
634,아산,2025-01-14 13:00,7,271.7,0,56
634,아산,2025-01-14 14:00,6.4,266.2,0,59
634,아산,2025-01-14 15:00,4.9,307.8,0,58
634,아산,2025-01-14 16:00,4.4,315.7,0,53
634,아산,2025-01-14 17:00,4,319.1,0,54
634,아산,2025-01-14 18:00,3.6,295.6,0,54
634,아산,2025-01-14 19:00,3.4,297.7,0,58
634,아산,2025-01-14 20:00,2.8,265.2,0,63
634,아산,2025-01-14 21:00,2.4,273.2,0,62
634,아산,2025-01-14 22:00,2.2,314.9,0,50
634,아산,2025-01-14 23:00,1.4,312.1,0,53
634,아산,2025-01-15 0:00,0,312.7,0,55
634,아산,2025-01-15 1:00,-0.8,192.3,0,52
634,아산,2025-01-15 2:00,-1.3,98.1,0,51
634,아산,2025-01-15 3:00,-1.4,150.8,0,52
634,아산,2025-01-15 4:00,-1.8,306.8,0,42
634,아산,2025-01-15 5:00,-2.1,288.7,0,43
634,아산,2025-01-15 6:00,-2.6,116.7,0,47
634,아산,2025-01-15 7:00,-2.8,100.2,0,41
634,아산,2025-01-15 8:00,-3.2,70.3,0,44
634,아산,2025-01-15 9:00,-3.1,66,0,42
634,아산,2025-01-15 10:00,-2.3,310.7,0,46
634,아산,2025-01-15 11:00,-1.6,294.4,0,46
634,아산,2025-01-15 12:00,-1.2,290.6,0,41
634,아산,2025-01-15 13:00,-1.4,287.6,0,32
634,아산,2025-01-15 14:00,-1.6,293.8,0,36
634,아산,2025-01-15 15:00,-1.5,313.9,0,39
634,아산,2025-01-15 16:00,-1,313.6,0,43
634,아산,2025-01-15 17:00,-1.9,318.9,0,47
634,아산,2025-01-15 18:00,-2.5,298.6,0,50
634,아산,2025-01-15 19:00,-3.2,260.7,0,54
634,아산,2025-01-15 20:00,-3.1,270.6,0,60
634,아산,2025-01-15 21:00,-2.6,300,0,59
634,아산,2025-01-15 22:00,-2.6,296.8,0,60
634,아산,2025-01-15 23:00,-3.8,30.3,0,63
634,아산,2025-01-16 0:00,-5.6,105.2,0,67
634,아산,2025-01-16 1:00,-5.3,170.5,0,70
634,아산,2025-01-16 2:00,-4.2,144,0,56
634,아산,2025-01-16 3:00,-3.7,159.7,0,62
634,아산,2025-01-16 4:00,-3.4,160.3,0,61
634,아산,2025-01-16 5:00,-3.1,146.3,0,61
634,아산,2025-01-16 6:00,-2.6,120.3,0,63
634,아산,2025-01-16 7:00,-2.8,184.1,0,69
634,아산,2025-01-16 8:00,-2.6,162.8,0,69
634,아산,2025-01-16 9:00,-1.9,175.3,0,70
634,아산,2025-01-16 10:00,-1.2,170.7,0,70
634,아산,2025-01-16 11:00,2.1,181.1,0,61
634,아산,2025-01-16 12:00,4.9,239.7,0,44
634,아산,2025-01-16 13:00,5.2,271.2,0,39
634,아산,2025-01-16 14:00,4,293.4,0,49
634,아산,2025-01-16 15:00,5.2,265,0,50
634,아산,2025-01-16 16:00,4,252.2,0,50
634,아산,2025-01-16 17:00,3.2,250.2,0,54
634,아산,2025-01-16 18:00,2.8,260.3,0,57
634,아산,2025-01-16 19:00,1.5,219,0,66
634,아산,2025-01-16 20:00,1,227.8,0,72
634,아산,2025-01-16 21:00,1.4,237.3,0,69
634,아산,2025-01-16 22:00,1.3,273.6,0,69
634,아산,2025-01-16 23:00,1.1,304,0,73
634,아산,2025-01-17 0:00,0.3,257.5,0,73
634,아산,2025-01-17 1:00,-0.7,293.5,0,66
634,아산,2025-01-17 2:00,-1.4,311.6,0,61
634,아산,2025-01-17 3:00,-2.1,322.5,0,61
634,아산,2025-01-17 4:00,-1.6,61,0,57
634,아산,2025-01-17 5:00,-2.1,67.1,0,57
634,아산,2025-01-17 6:00,-2.7,40,0,56
634,아산,2025-01-17 7:00,-4.2,14.3,0,64
634,아산,2025-01-17 8:00,-5.1,205,0,76
634,아산,2025-01-17 9:00,-2.9,0,0,67
634,아산,2025-01-17 10:00,-0.4,216.1,0,58
634,아산,2025-01-17 11:00,1,237.9,0,57
634,아산,2025-01-17 12:00,2.4,227.5,0,49
634,아산,2025-01-17 13:00,3.7,241.6,0,43
634,아산,2025-01-17 14:00,3.5,38.1,0,43
634,아산,2025-01-17 15:00,3.2,96.5,0,48
634,아산,2025-01-17 16:00,2.7,71.9,0,47
634,아산,2025-01-17 17:00,2.4,68.3,0,48
634,아산,2025-01-17 18:00,1.2,253.4,0,44
634,아산,2025-01-17 19:00,0,317.4,0,56
634,아산,2025-01-17 20:00,-1.8,240,0,65
634,아산,2025-01-17 21:00,-2.7,144.5,0,69
634,아산,2025-01-17 22:00,-3.2,0,0,68
634,아산,2025-01-17 23:00,-4.2,183.3,0,78
634,아산,2025-01-18 0:00,-4.4,170.2,0,80
634,아산,2025-01-18 1:00,-4.6,194.2,0,78
634,아산,2025-01-18 2:00,-5.7,211.7,0,84
634,아산,2025-01-18 3:00,-4.6,177.6,0,78
634,아산,2025-01-18 4:00,-5.4,127.8,0,78
634,아산,2025-01-18 5:00,-6.1,229.3,0,83
634,아산,2025-01-18 6:00,-6.3,208,0,87
634,아산,2025-01-18 7:00,-6.1,173.7,0,88
634,아산,2025-01-18 8:00,-6.1,202.8,0,81
634,아산,2025-01-18 9:00,-4.5,227.9,0,79
634,아산,2025-01-18 10:00,-1.2,157.9,0,69
634,아산,2025-01-18 11:00,1.9,249.9,0,56
634,아산,2025-01-18 12:00,2.5,25.3,0,59
634,아산,2025-01-18 13:00,3.6,322.8,0,55
634,아산,2025-01-18 14:00,4.6,32.1,0,44
634,아산,2025-01-18 15:00,5.3,37.7,0,27
634,아산,2025-01-18 16:00,5.5,24.2,0,30
634,아산,2025-01-18 17:00,4.3,329.6,0,26
634,아산,2025-01-18 18:00,3.4,60.5,0,34
634,아산,2025-01-18 19:00,1.6,1.8,0,41
634,아산,2025-01-18 20:00,-0.7,0,0,49
634,아산,2025-01-18 21:00,-1.3,153.5,0,52
634,아산,2025-01-18 22:00,-2,159.8,0,53
634,아산,2025-01-18 23:00,-2.7,153.8,0,58
634,아산,2025-01-19 0:00,-3.2,174.9,0,68
634,아산,2025-01-19 1:00,-3.5,191.5,0,67
634,아산,2025-01-19 2:00,-4.3,180.7,0,75
634,아산,2025-01-19 3:00,-4,146.4,0,74
634,아산,2025-01-19 4:00,-4.7,217.6,0,82
634,아산,2025-01-19 5:00,-4.6,150.3,0,83
634,아산,2025-01-19 6:00,-3.2,204.6,0,80
634,아산,2025-01-19 7:00,-2.4,218.8,0,77
634,아산,2025-01-19 8:00,-1.6,311,0,75
634,아산,2025-01-19 9:00,-0.3,158.3,0,74
634,아산,2025-01-19 10:00,2.5,155.7,0,55
634,아산,2025-01-19 11:00,4.5,138.7,0,50
634,아산,2025-01-19 12:00,5.6,11.7,0,55
634,아산,2025-01-19 13:00,7.3,324.9,0,48
634,아산,2025-01-19 14:00,10.2,217,0,51
634,아산,2025-01-19 15:00,8.6,224.2,0,54
634,아산,2025-01-19 16:00,9.1,247.7,0,55
634,아산,2025-01-19 17:00,7.7,301.2,0,58
634,아산,2025-01-19 18:00,5.5,255.7,0,69
634,아산,2025-01-19 19:00,3,185.4,0,77
634,아산,2025-01-19 20:00,2.9,185.5,0,81
634,아산,2025-01-19 21:00,2.4,183.1,0,83
634,아산,2025-01-19 22:00,2.7,166.8,0,81
634,아산,2025-01-19 23:00,2.4,160,0,88
634,아산,2025-01-20 0:00,1.8,146.8,0,82
634,아산,2025-01-20 1:00,-0.1,194.2,0,91
634,아산,2025-01-20 2:00,-1.2,224.4,0,93
634,아산,2025-01-20 3:00,-0.8,218,0,94
634,아산,2025-01-20 4:00,-0.2,182.7,0,94
634,아산,2025-01-20 5:00,0,164.6,0,91
634,아산,2025-01-20 6:00,-0.3,178.4,0,91
634,아산,2025-01-20 7:00,-0.5,153.8,0,92
634,아산,2025-01-20 8:00,-0.3,210.7,0,94
634,아산,2025-01-20 9:00,0,14.1,0,94
634,아산,2025-01-20 10:00,1.9,0,0,88
634,아산,2025-01-20 11:00,3.9,129.5,0,78
634,아산,2025-01-20 12:00,5.6,242.5,0,61
634,아산,2025-01-20 13:00,5.7,298.5,0,59
634,아산,2025-01-20 14:00,6.2,305.8,0,59
634,아산,2025-01-20 15:00,5.3,76.5,0,62
634,아산,2025-01-20 16:00,5.1,53.6,0,62
634,아산,2025-01-20 17:00,4.3,61.6,0,65
634,아산,2025-01-20 18:00,3.1,44.2,0,73
634,아산,2025-01-20 19:00,2.6,25.7,0,82
634,아산,2025-01-20 20:00,1.3,315.2,0,86
634,아산,2025-01-20 21:00,0.6,245.9,0,89
634,아산,2025-01-20 22:00,0.5,0,0,91
634,아산,2025-01-20 23:00,-0.8,0,0,92
634,아산,2025-01-21 0:00,-1,187.1,0,93
634,아산,2025-01-21 1:00,-1.6,190.5,0,95
634,아산,2025-01-21 2:00,-2.4,211.2,0,95
634,아산,2025-01-21 3:00,-2.2,184.5,0,96
634,아산,2025-01-21 4:00,-2.3,190.6,0,96
634,아산,2025-01-21 5:00,-2.9,171.4,0,95
634,아산,2025-01-21 6:00,-3.8,0,0,96
634,아산,2025-01-21 7:00,-3.4,323.9,0,96
634,아산,2025-01-21 8:00,-2.7,0,0,96
634,아산,2025-01-21 9:00,-2.6,194.1,0,96
634,아산,2025-01-21 10:00,-1.8,138.4,0,97
634,아산,2025-01-21 11:00,-0.5,0,0,97
634,아산,2025-01-21 12:00,0.8,315.8,0,98
634,아산,2025-01-21 13:00,2.2,42.3,0,94
634,아산,2025-01-21 14:00,6.2,337.8,0,69
